,예상중량,제품명
2022-03-29,46.304977109626044,PEMA-SPR
2022-01-11,0.0,ARE-580FX
2022-01-18,0.0,ARE-580FX
2022-01-25,0.0,ARE-580FX
2022-02-01,0.0,ARE-580FX
2022-02-08,0.0,ARE-580FX
2022-02-15,0.0,ARE-580FX
2022-02-22,15417.864750039927,ARE-580FX
2022-03-01,0.0,ARE-580FX
2022-03-08,0.0,ARE-580FX
2022-03-15,0.0,ARE-580FX
2022-03-22,0.0,ARE-580FX
2022-03-29,0.0,ARE-580FX
2022-01-11,286.59980743241783,PEMA-HR1000S
2022-01-18,101.82350406540172,PEMA-HR1000S
2022-01-25,125.73139455305332,PEMA-HR1000S
2022-02-01,145.67742129321064,PEMA-HR1000S
2022-02-08,134.5410389652727,PEMA-HR1000S
2022-02-15,135.56501551775875,PEMA-HR1000S
2022-02-22,10807.921982686315,PEMA-HR1000S
2022-03-01,136.2583433905723,PEMA-HR1000S
2022-03-08,136.29310349822475,PEMA-HR1000S
2022-03-15,136.38371969345303,PEMA-HR1000S
2022-03-22,136.3446473364034,PEMA-HR1000S
2022-03-29,136.3450210533199,PEMA-HR1000S
