"제품코드","product_cnt","제품명","약식품번(제품번호와같이키값으로사용)"
PEMA023123200,2,PEMA-HR1000선진(함안),808601
PEMA133057600,2,PEMA-HR1500물금(양산),781151
SSA013069401,2,AE 천마(서울),769303
PEMA023089240,2,CSA5000고려(당진),808405
PEMA043014900,2,PEMA-HR1000대신(군산),807454
PEMA023001800,2,CSA5000건설(의정부),808459
PEMA243048300,2,PEMA-HR1000서전(서산),766081
PEMA013030801,2,PEMA-HR1500부일(회동동),781214
PEMA013084200,2,PEMA-HR1000호서(오수),807634
PEMA013114800,2,PEMA-HR1000찬우(밀양),806586
PEMA013128400,2,PEMA-HR1500케이세웅(충주),808540
SSA013035309,2,AE삼표(용인),808546
PEMA013126100,2,CSA5000서호(태안),808108
PEMA013031800,2,PEMA-HR1000삼덕(평택),765927
PEMA063031400,2,PEMA-SR3000F산하(덕소),808308
PEMA023080100,2,PEMA-SR3000F한일(대구),783666
PEMA013901300,2,PEMA-HR1000강남(여주),804756
PEMA043122100,2,PEMA-SR2000대아(진천),808110
PEMA083017000,2,CSA5000 대원(언양),808936
PEMA013048518,2,PEMA-HR1500쌍용(서부산-신평),805108
PEMA293022500,2,PEMA-HR1500F/A진성(김해),780879
PEMA023058200,2,PEMA-HR1000유니온(포항),805083
PEMA033038100,2,CSA5000서인(서산),808121
PEMA023034201,2,PEMA-HR1000삼양(남양주),808700
PEMA013052400,2,PEMA-HR1000영산(용인),766479
PEMA013004500,2,PEMA-HR1000공단(대전),774057
PEMA043099800,2,CSA5000영진(경주),806454
PEMA023125100,2,PEMA-HR1500홍성(산청),808021
PEMA023080008,2,PEMA-PCM2000한일(평택),808715
PEMA153001100,2,PEMA-HR1000우성(강릉),780625
PEMA013109400,2,CSA4000보광(대구),805892
PEMA043069403,2,CSA5000천마(홍성),807039
TSN4012043602,2,PEMA-SN400청명(용인),808559
PEMA013033510,2,PEMA-PR1000삼성(창녕),806734
PEMA153048300,2,PEMA-HR1000대호(서산),765759
PEMA033043500,2,PEMA-HR1000세화(안산),804997
PEMA013115800,2,PEMA-HR1000일진기업(양평),806647
PEMA053006900,2,PEMA-SR3000F극동(사천),783076
PEMA023058605,2,PEMA-HR1000유진(서인천),804346
PEMA013103801,2,CSA5000에스지이(김포),806135
PEMA023117801,2,PEMA-SR2000A에스피(광주),768191
PEMA043023001,2,PEMA-HR1500동양건재(김해),781118
PEMA023033600,2,PEMA-HR1000삼성(정읍),774381
PEMA023002000,2,CSA5000건설(수원),804766
PEMA013107700,2,CSA5000금강(김포),805771
PEMA043072100,2,PEMA-SR3000F태명(이천),806386
PEMA053048500,2,PEMA-SR2000A쌍용(광주),808796
PEMA033023004,2,CSA5000동양(아산),804383
PEMA033058615,2,PEMA-PCM2000유진(평택),808730
PEMA013106100,2,PEMA-HR1000우림(하남),805632
PEMA023114700,2,PEMA-HR1500대성(밀양),808284
PEMA023022400,2,PEMA-HR1500동아(함안),781089
PEMA033027400,2,PEMA-HR1500미륭(부산),781169
PEMA033109700,2,CSA5000우진(경주),806453
PEMA013031700,2,CSA5000삼덕(인천),807308
PEMA013071300,2,PEMA-HR1500케이와이(인천),767210
PEMA403022500,2,PEMA-HR1500쌍용(정관),781302
PEMA023006200,2,CSA5000국광(천안),808621
TSN4012015714,2,PEMA-SN400성보(일산),808217
PEMA013107000,2,PEMA-HR1500에스비(진해),805722
PEMA043011800,2,PEMA-HR1500대경(순천),808051
PEMA033091500,2,PEMA-HR1000울산(울산),805839
PEMA013119000,2,PEMA-HR1000하나(군산),807117
PEMA033031600,2,CSA5000미래(평택),808085
PEMA013061900,2,CSA5000정도(울진),779894
PEMA013064802,2,PEMA-HR1000주안(계룡),804565
PEMA013133000,2,PEMA-PCR3000N 여흥(서울),808958
PEMA013078800,2,PEMA-HR1000한성(경산),805911
PEMA023000210,2,PEMA-HR1500가야(인천),806685
PEMA023006800,2,PEMA-HR1500극동(사천),780983
PEMA013132400,2,PEMA-HR1000 삼화알엠씨(양주),808898
PEMA013063800,2,PEMA-HR1000제일(이서),774567
PEMA013044801,2,PEMA-HR1000수강에스디(사천),808783
